ID,NOM_TL,ADRESSE,CP,COMINIT,INSEECOM,NOMCOM,WEB,TWITTER,FACEBOOK,TYPO,LAT,LONG,GEOCOD,PRECISION,CONTACT,MAIL,METRO,NOMMETRO,INSEEREG,NOMREG,INSEEMETRO,INSEEDEP,NOMCOMMETRO,POPCOM,COMCLASS,INSEE_ZE,NOM_ZE,CLASS_ZE,POP_ZE
1,ADE Coworking,9 Rue du Petit Châtelier,44300,Nantes,44109,Nantes,www.ade-coworking.net,,,Tiers lieux à dominante coworking,47.245935,-1.505602,9 Rue du Petit Châtelier 44300 Nantes,0.94,,,1,Nantes Métropole,52,Pays de la Loire,44109,44,Nantes,298029,100000 et plus,5203,NANTES,500 000-6 000 000,1061271
2,Anticafé,6 Rue du Château d'Eau,75010,Paris,75110,Paris,www.anticafe.eu,,,Tiers lieux à dominante coworking,48.869483,2.361539,6 Rue du Château d'Eau 75010 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
3,Co-Factory,677 Avenue de la République,59800,Lille,59350,Lille,www.co-factory.fr,,,Tiers lieux à dominante coworking,50.65505,3.08581,Avenue de la République 59800 Lille,0.85,,,1,Métropole Européenne de Lille,32,Hauts-de-France,59378,59,Marcq-en-Baroeul,39291,20000-50000,3111,LILLE,500 000-6 000 000,805074
4,Cowork In Grenoble,16 Boulevard Maréchal Lyautey,38000,Grenoble,38185,Grenoble,www.co-work.fr,,,Tiers lieux à dominante coworking,45.18532,5.731603,16 Boulevard Maréchal Lyautey 38000 Grenoble,0.94,,,1,Métropole Grenoble-Alpes-Métropole,84,Auvergne et Rhône-Alpes,38185,38,Grenoble,160779,100000 et plus,8210,GRENOBLE,500 000-6 000 000,813732
5,Cowork'in Bourges,20 chemin des Goulevents,18000,Bourges,18033,Bourges,www.coworkinbourges.fr,,,Tiers lieux à dominante coworking,47.072636,2.371269,Chemin des Goulevents 18000 Bourges,0.86,,,0,,24,Centre-Val de Loire,18033,18,Bourges,66528,50000-100000,2401,BOURGES,100 000-200 000,196888
6,Coworking Plaine Images,99 A boulevard Constantin Descat,59200,Tourcoing,59599,Tourcoing,www.plaine-images.fr,,,Tiers lieux à dominante coworking,50.701083,3.157922,99 A Boulevard Constantin Descat 59200 Tourcoing,0.93,,,1,Métropole Européenne de Lille,32,Hauts-de-France,59599,59,Tourcoing,95329,50000-100000,3110,ROUBAIX - TOURCOING,200 000-500 000,427439
7,Craft,24 Rue des Vinaigriers,75010,Paris,75110,Paris,www.cafe-craft.com,,,Tiers lieux à dominante coworking,48.873196,2.363061,24 Rue des Vinaigriers 75010 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
8,Dot Parade,26 Bis Rue des Olivettes,44000,Nantes,44109,Nantes,www.dotparade.com,,,Tiers lieux à dominante coworking,47.210413,-1.549211,26 BIS Rue des Olivettes 44000 Nantes,0.94,,,1,Nantes Métropole,52,Pays de la Loire,44109,44,Nantes,298029,100000 et plus,5203,NANTES,500 000-6 000 000,1061271
9,Hubsy Café,41 Rue Réaumur,75003,Paris,75103,Paris,www.hubsy.fr,,,Tiers lieux à dominante coworking,48.865773,2.354178,41 Rue Réaumur 75003 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
10,Intencity,6 Rue d'Estienne d'Orves,92110,Clichy,92024,Clichy,www.intencity.fr,,,Tiers lieux à dominante coworking,48.905802,2.302557,6 Rue d'Estienne d'Orves 92110 Clichy,0.93,,,1,Métropole du Grand Paris,11,Île-de-France,92024,92,Clichy,59783,50000-100000,1101,PARIS,500 000-6 000 000,5981175
11,La Chapelle Coworking,134 Rue Paul Bellamy,44000,Nantes,44109,Nantes,www.la-chapelle-coworking.fr,,,Tiers lieux à dominante coworking,47.228441,-1.561784,134 Rue Paul Bellamy 44000 Nantes,0.95,,,1,Nantes Métropole,52,Pays de la Loire,44109,44,Nantes,298029,100000 et plus,5203,NANTES,500 000-6 000 000,1061271
12,La Cordée,4 Quai Jean Moulin,69001,Lyon,69381,Lyon,www.la-cordee.netla-cordee-opera,,,Tiers lieux à dominante coworking,45.767281,4.837816,4 Quai Jean Moulin 69001 Lyon,0.93,,,1,Métropole de LYON,84,Auvergne et Rhône-Alpes,69123,69,Lyon,506615,100000 et plus,8214,LYON,500 000-6 000 000,1799726
13,La Fabrique,10 Rue Chaptal,34000,Montpellier,34172,Montpellier,www.lafabriquecoworking.net,,,Tiers lieux à dominante coworking,43.605128,3.870167,10 Rue Chaptal 34000 Montpellier,0.94,,,1,Montpellier Méditerranée Métropole,76,Occitanie,34172,34,Montpellier,275318,100000 et plus,9111,MONTPELLIER,500 000-6 000 000,664066
14,La Serre,27 Bis Allée Maurice Sarraut,31300,Toulouse,31555,Toulouse,www.la-serre.org,,,Tiers lieux à dominante coworking,43.594005,1.421281,27 B Allée Maurice Sarraut 31300 Toulouse,0.86,,,1,Toulouse Métropole,76,Occitanie,31555,31,Toulouse,466297,100000 et plus,61,TOULOUSE,500 000-6 000 000,1450345
15,L'Atelier du 9,9 Rue du Moulin l'Abbé,62280,Saint-Martin-Boulogne,62758,Saint-Martin-Boulogne,www.latelierdu9.fr,,,Tiers lieux à dominante coworking,50.728919,1.680657,9 Rue du Moulin l'Abbé 62280 Saint-Martin-Boulogne,0.91,,,0,,32,Hauts-de-France,62758,62,Saint-Martin-Boulogne,11391,5000-20000,3126,BOULOGNE-SUR-MER,100 000-200 000,161401
16,Lawomatic,20 Rue Jean Moinon,75010,Paris,75110,Paris,www.lawomatic.fr,,,Tiers lieux à dominante coworking,48.874175,2.371628,20 Rue Jean et Marie Moinon 75010 Paris,0.73,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
17,Le Laptop,6 Rue Arthur Rozier,75019,Paris,75119,Paris,www.lelaptop.com,,,Tiers lieux à dominante coworking,48.877348,2.390756,6 Rue Arthur Rozier 75019 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
18,Le Loft 50 Partners,62 Rue Jean-Jacques Rousseau,75001,Paris,75101,Paris,www.leloft50partners.com,,,Tiers lieux à dominante coworking,48.864084,2.343733,62 Rue Jean-Jacques Rousseau 75001 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
19,Le Petit Musc,28 Rue du Petit Musc,75004,Paris,75104,Paris,www.lepetitmusc.fr,,,Tiers lieux à dominante coworking,48.852846,2.364587,28 Rue du Petit Musc 75004 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
20,Now Coworking,53 Boulevard des Belges,76000,Rouen,76540,Rouen,www.now-coworking.com,,,Tiers lieux à dominante coworking,49.443954,1.084992,53 Boulevard des Belges 76000 Rouen,0.95,,,1,Métropole Rouen Normandie,28,Normandie,76540,76,Rouen,110618,100000 et plus,2307,ROUEN,500 000-6 000 000,834093
21,Panorama Coworking,18 Rue des Pontonniers,67000,Strasbourg,67482,Strasbourg,www.panorama-coworking.fr,,,Tiers lieux à dominante coworking,48.584292,7.757677,18 Rue des Pontonniers 67000 Strasbourg,0.94,,,1,Eurométropole de Strasbourg,44,Grand Est,67482,67,Strasbourg,276170,100000 et plus,4205,STRASBOURG,500 000-6 000 000,582412
22,Rooftop-Work,47 Avenue de la Grande Armée,75116,Paris,75116,Paris,www.rooftop-work.paris,,,Tiers lieux à dominante coworking,48.875304,2.289106,Avenue de la Grande Armée 75116 Paris,0.87,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
23,Start-Way,100 Boulevard Beaumarchais,75003,Paris,75103,Paris,www.start-way.com,,,Tiers lieux à dominante coworking,48.858225,2.367646,Boulevard Beaumarchais 75003 Paris,0.85,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
24,Weecolab,53 Rue Pomme d'Or,33300,Bordeaux,33063,Bordeaux,www.weecolab.com,,,Tiers lieux à dominante coworking,44.853688,-0.570485,Impasse de la Pomme d'Or 33300 Bordeaux,0.57,,,1,Bordeaux Métropole,75,Nouvelle Aquitaine,33063,33,Bordeaux,246586,100000 et plus,7204,BORDEAUX,500 000-6 000 000,1271647
25,Weréso,104 Rue nationale,59800,Lille,59350,Lille,www.wereso.com,,,Tiers lieux à dominante coworking,50.635371,3.058359,104 Rue Nationale 59800 Lille,0.95,,,1,Métropole Européenne de Lille,32,Hauts-de-France,59350,59,Lille,233897,100000 et plus,3111,LILLE,500 000-6 000 000,805074
